,Ticker,Shares
1,SPG,19.50303449313537
2,ABT,21.341977111954
3,KMI,138.84825188618663
4,NEE,33.96017535174038
5,SBUX,21.74480276120772
6,CVS,30.689737042113627
7,GOOG,0.9711076506971301
8,LMT,6.6006536838770336
9,MSFT,27.012426309637192
10,MON,776.7996071908725
11,ACN,8.248589447907369
12,T,90.52214395322065
13,CSCO,46.69405971703981
14,SO,41.47693744055601
15,BMY,37.64559694258196
16,COST,6.27835346808137
17,CL,278.5578939046475
18,PG,167.63678696158323
19,PEP,16.78866388098903
20,KO,46.49073218008377
